carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
VY,Spain,Belgium,2,1,2
W4,Poland,Italy,0,1,0
SP,Portugal,Portugal,2,3,2
KE,Germany,South Korea,1,0,1
LX,Italy,Luxembourg,0,1,0
FR,Hungary,Croatia,0,2,0
TP,Portugal,Netherlands,3,0,3
UX,Uruguay,,0,2,0
W4,Austria,Spain,1,0,1
F8,United States,Canada,0,1,0
SK,Finland,Italy,0,1,0
SN,Italy,Germany,0,1,0
QR,Netherlands,Thailand,1,0,1
A9,Georgia,Italy,3,2,3
EI,Italy,United States,4,15,4
4Y,Spain,Turkey,0,1,0
SN,Belgium,Ivory Coast,1,2,1
DL,United States,Canada,1,0,1
N0,United States,France,1,0,1
LH,Turkey,Italy,0,2,0
WF,Norway,Italy,0,3,0
KL,Italy,Indonesia,2,0,2
VA,Australia,Fiji,1,0,1
LH,Belgium,United States,0,2,0
KM,Netherlands,Malta,0,3,0
SV,Italy,Maldives,0,1,0
5W,Saudi Arabia,United Arab Emirates,0,2,0
EY,Italy,Pakistan,0,2,0
EY,Italy,,11,7,11
MS,Italy,China,0,2,0
LO,Italy,Japan,0,8,0
FR,Italy,Estonia,3,16,3
ZG,Japan,Singapore,2,7,2
RJ,Saudi Arabia,Jordan,0,1,0
QR,France,Japan,0,1,0
F3,Saudi Arabia,Pakistan,0,1,0
TK,Germany,Israel,1,0,1
DL,Italy,Brazil,1,0,1
EK,Australia,New Zealand,0,1,0
A3,Italy,Greece,66,143,65
DE,Italy,Germany,1,7,1
VY,Italy,Egypt,9,5,9
TP,Italy,Spain,3,27,3
CZ,Australia,Italy,0,2,0
LX,Italy,Nigeria,0,1,0
AZ,Italy,United Arab Emirates,1,4,1
W6,France,Hungary,2,0,2
BF,France,United States,1,0,1
QZ,Indonesia,Italy,0,4,0
CA,Italy,Malaysia,0,1,0
PC,Netherlands,Iran,0,2,0
DY,Finland,Sweden,1,1,1
GF,Bangladesh,Italy,0,1,0
QR,Jordan,Philippines,0,1,0
FZ,Italy,United Arab Emirates,12,47,12
ET,Italy,Mali,0,3,0
IB,Colombia,Italy,4,13,4
MU,China,Italy,0,5,0
U2,United Kingdom,Spain,6,0,6
LX,Egypt,Italy,1,2,1
DY,Netherlands,Denmark,0,1,0
EK,United Kingdom,Australia,1,0,1
HO,China,China,0,1,0
TP,Portugal,Italy,27,19,27
AF,Italy,Spain,2,2,2
WS,Canada,Italy,0,1,0
OS,Austria,Norway,2,0,2
QF,Australia,Italy,1,5,1
NT,Spain,Spain,0,8,0
W4,Italy,Colombia,0,9,0
W4,Albania,Greece,0,2,0
TK,Italy,Nigeria,1,7,1
AZ,Morocco,Italy,0,8,0
FR,Poland,United Kingdom,0,1,0
DE,Canada,Italy,3,1,3
DE,Italy,,2,0,2
KU,Saudi Arabia,Nepal,0,1,0
VY,Spain,Netherlands,8,8,8
XZ,Greece,Italy,22,1,22
,Italy,Italy,0,6,0
W4,United Kingdom,Italy,66,34,65
LY,Italy,United States,0,10,0
W4,Italy,Dominican Republic,0,1,0
SK,Italy,Germany,0,4,0
SM,Italy,Seychelles,0,1,0
PC,Spain,Turkey,1,7,1
U2,United Kingdom,France,1,0,1
QR,Italy,China,1,1,1
MH,Singapore,Malaysia,0,2,0
AF,Finland,Algeria,1,0,1
BA,United Kingdom,Austria,1,0,1
LH,Austria,Spain,1,0,1
QR,United Arab Emirates,United States,0,1,0
WY,Italy,Philippines,0,1,0
LH,Germany,Egypt,0,1,0
JQ,Australia,Indonesia,0,1,0
XQ,Turkey,Switzerland,1,0,1
EY,Republic of Ireland,India,0,1,0
W6,Italy,Netherlands,39,47,39
W6,Italy,Armenia,6,8,6
KL,Germany,South Africa,2,0,2
LO,Italy,Armenia,0,2,0
U2,France,Switzerland,2,0,2
KL,Italy,Nigeria,1,0,1
BA,France,Brazil,0,1,0
FR,United Kingdom,Spain,5,5,5
FR,Republic of Ireland,France,1,0,1
QR,Poland,Japan,0,2,0
RO,Turkey,Romania,0,2,0
XC,Turkey,Germany,0,2,0
SN,Italy,Ivory Coast,5,1,5
PG,Thailand,Thailand,26,32,26
W4,Italy,Sri Lanka,0,1,0
VY,Portugal,Spain,3,1,3
HV,France,Tunisia,3,1,3
LY,Spain,Israel,0,1,0
A3,Albania,Czech Republic,0,4,0
SG,Thailand,India,1,0,1
EK,Tunisia,Thailand,0,1,0
FR,Croatia,Hungary,0,1,0
AF,Spain,Mexico,0,1,0
EW,Germany,Sweden,1,0,1
LX,Switzerland,Spain,2,3,2
5J,Philippines,Cambodia,0,1,0
TR,South Korea,Malaysia,0,1,0
SS,Sint Maarten,France,0,1,0
AF,Martinique,Italy,1,0,1
IB,Austria,,0,1,0
EY,Italy,Singapore,3,6,3
3U,Italy,,0,1,0
KL,Italy,South Africa,9,7,9
TP,Italy,Canada,1,9,1
U2,United Kingdom,Switzerland,7,0,7
AC,Germany,United States,0,1,0
EY,Oman,United Arab Emirates,1,0,1
FR,Spain,Poland,0,1,0
W6,Romania,Egypt,0,1,0
TP,Portugal,Portugal,3,6,3
U2,Portugal,Italy,40,9,40
E9,Mexico,Italy,0,1,0
QR,Italy,Maldives,12,20,12
W9,Portugal,United Kingdom,2,1,2
LO,China,Italy,1,1,1
CE,France,Spain,0,1,0
IB,Costa Rica,Italy,0,1,0
ET,Rwanda,,0,1,0
AA,Switzerland,United States,1,0,1
JL,Japan,Japan,5,4,5
AF,Italy,Argentina,15,28,15
W6,Italy,Pakistan,0,30,0
KM,Italy,Cyprus,0,4,0
AV,Spain,Peru,1,4,1
EK,Slovenia,India,1,0,1
LX,Italy,Netherlands,0,1,0
LH,Switzerland,Poland,0,1,0
AZ,Italy,Uzbekistan,0,2,0
AF,Italy,Vietnam,1,4,1
OS,Italy,Serbia,2,0,2
RJ,Tunisia,Lebanon,1,0,1
OS,Republic of Macedonia,Italy,1,0,1
UX,Ecuador,Italy,0,1,0
U2,United Kingdom,Tunisia,1,0,1
OZ,Vietnam,Italy,1,0,1
U2,Italy,Netherlands,239,43,237
DE,Germany,Egypt,2,3,2
H2,Chile,Chile,0,23,0
KL,Italy,Mexico,3,5,3
SK,United States,,1,4,1
LX,Italy,Croatia,0,1,0
UX,Italy,Panama,0,1,0
DD,Thailand,,0,1,0
EW,Czech Republic,Germany,1,0,1
LX,Germany,,0,1,0
BT,Austria,Latvia,1,0,1
AY,United Kingdom,United States,0,1,0
UI,Tanzania,Tanzania,1,0,1
EI,Republic of Ireland,Belgium,1,0,1
V7,Greece,Albania,0,1,0
5W,Jordan,United Arab Emirates,0,4,0
E9,Spain,Cuba,2,6,2
